survey,item_con,item,variable,values,nonresponses,question_text,response_categories
evs2017,strong_bad4,strong_evs,v145,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
pew2017,strong_bad4,strong_pew.1,polsys_autocracy,"c(1:4)","c(8,9)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
tcmeg2004,strong_bad4,strong_tcmeg,m603b,"c(1:4)","c(97,98,99)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs_combo,strong_bad4,strong_wvs,e114,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs4_swe,strong_bad4,strong_wvs,v164,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs6_bahrain,strong_bad4,strong_wvs,v127,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
arabb62,strong4d,strong_arabb_3,q533_5,"c(4:1)","c(8,9)","as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
arabb7,strong4d,strong_arabb_3,q533_5,"c(4:1)","c(8,9)","as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1997,strong4a,strong_asiab,q17_2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1998,strong4a,strong_asiab,q30_2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1999,strong4a,strong_asiab,q34_2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2001,strong4a,strong_asiab,q31_2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2004,strong4a,strong_asiab,q15a2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2010,strong4a,strong_asiab,q11_2,"c(4:1)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
asianb3,church4,church_asianb,q128,"c(4:1)","c(7:9)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb4,church4,church_asianb,q129,"c(4:1)","c(7:9)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_japan,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
