survey,item,item_cl,variable,values,question_text,response_categories
amb_argentina2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_argentina2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_argentina2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_argentina2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_argentina2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_argentina2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_argentina2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_argentina2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_argentina2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_argentina2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_argentina2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_bolivia2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_bolivia2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_bolivia2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_bolivia2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_bolivia2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_bolivia2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_brazil2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_canada2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_canada2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_canada2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_canada2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2016,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_canada2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2018,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_canada2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_canada2021,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_chile2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_chile2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_chile2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_chile2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_chile2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_chile2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_chile2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_chile2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_chile2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_chile2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_chile2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2005,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2005,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_colombia2005,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_colombia2007,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2007,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_colombia2007,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_colombia2009,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2009,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_colombia2009,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_colombia2011,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2011,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_colombia2011,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_colombia2013,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_colombia2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_combo,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_combo,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_combo,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_costarica2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_dominicanrepublic2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_ecuador2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_ecuador2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_ecuador2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_ecuador2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_ecuador2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_elsalvador2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_guatemala2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_guyana2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_haiti2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_honduras2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_jamaica2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_mexico2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_nicaragua2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_panama2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_paraguay2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_peru2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_suriname2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_suriname2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_suriname2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_suriname2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_suriname2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_suriname2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_trinidad2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_trinidad2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_trinidad2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_trinidad2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_trinidad2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_trinidad2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_uruguay2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_us2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_us2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_us2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_us2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_us2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2018,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_us2021,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_venezuela2010,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_venezuela2010,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_venezuela2010,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_venezuela2012,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_venezuela2012,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
amb_venezuela2012,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_venezuela2014,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_venezuela2014,threestate_312,threestate_amb,dem2,"c(3,1,2)",which of the following statements do you agree with most,1 for people like me it doesn't matter whether a government is democratic or nondemocratic / 2 democracy is preferable to any other form of government / 3 under some circumstances an authoritarian government may be preferable to a democratic one
amb_venezuela2016,church7,church_amb,ing4,c(1:7),Democracy may have problems but it is better than any other form of government,1 strongly disagree / 7 strongly agree
amb_venezuela2016,strong2a,strong_amb_1,aut1,c(1:2),There are people who say that we need a strong leader who does not have to be elected by the vote of the people. Others say that although things may not work electoral democracy or the popular vote is always best. What do you think,1 we need a strong leader who does not have to be elected / 2 electoral democracy is the best
arabb1,church4,church_arabb,q2324,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
arabb1,evdem4,evdemoc_arabb,q2451,c(4:1),"a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)",1 very good / 2 good / 3 bad / 4 very bad
arabb1,strong4b,strong_arabb_2,q2452,c(1:4),a strong non-democratic leader that does not bother with parliament and elections,1 very good / 2 good / 3 bad / 4 very bad
arabb1,suitable10,democsuit_arabb10,q243,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
arabb2,church4,church_arabb,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
