survey,item_con,item,variable,values,nonresponses,question_text,response_categories
evs2017,strong_bad4,strong_evs,v145,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
pew2017,strong_bad4,strong_pew.1,polsys_autocracy,"c(1:4)","c(8,9)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
tcmeg2004,strong_bad4,strong_tcmeg,m603b,"c(1:4)","c(97,98,99)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs_combo,strong_bad4,strong_wvs,e114,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs4_swe,strong_bad4,strong_wvs,v164,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
wvs6_bahrain,strong_bad4,strong_wvs,v127,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
arabb62,strong4d,strong_arabb_3,q533_5,"c(4:1)","c(8,9)","as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
arabb7,strong4d,strong_arabb_3,q533_5,"c(4:1)","c(8,9)","as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1997,strong4a,strong_asiab,q17_2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1998,strong4a,strong_asiab,q30_2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar1999,strong4a,strong_asiab,q34_2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2001,strong4a,strong_asiab,q31_2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2004,strong4a,strong_asiab,q15a2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
kobar2010,strong4a,strong_asiab,q11_2,"c(1:4)","8","better to get rid of parliament and elections and have a strong leader decide everything","1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree"
asianb3,church4,church_asianb,q128,"c(4:1)","c(7:9)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb4,church4,church_asianb,q129,"c(4:1)","c(7:9)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_japan,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_korea,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_mongolia,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_philippines,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_taiwan,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_thailand,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_indonesia,church4,church_asianb,v_136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_malaysia,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_myanmar,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_australia,church4,church_asianb,q129,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
asianb5_india,church4,church_asianb,q136,"c(4:1)","c(97:99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
bsa2005,church4,church_cses,demobest,"c(4:1)","c(-2,-1,8,9)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
cses_combo,church4,church_cses,b3015,"c(4:1)","c(7:8)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
eurasiab2001,church4,church_eurasiab,demochur,"c(1:4)","","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
eurasiab2010,church4,church_eurasiab,v135_5,"c(4:1)","","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
evs_combo,church4,church_evs,e123,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
fsdelection_combo,church4,church_cses,fnes25,"c(4:1)","5","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
gallup_vop2004,church4,church_vop,q2d,"c(4:1)","9","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
gallup_vop2005,church4,church_vop,q6a1,"c(4:1)","9","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
gallup_vop2007,church4,church_vop,q3a,"c(4:1)","9","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2002,church4,church_lb,p38no2c,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2003,church4,church_lb,p16st_c,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2004,church4,church_lb,p22sta,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2005,church4,church_lb,p25stb,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2006,church4,church_lb,p22st_a,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2007,church4,church_lb,p13sta,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2008,church4,church_lb,p19s_ta,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2009,church4,church_lb,p20st_a,"c(4:1)","c(-1:-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2010,church4,church_lb,p14st_a,"c(4:1)","c(0,-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2011,church4,church_lb,p16st_a,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2013,church4,church_lb,p43st_a,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2015,church4,church_lb,p13st_a,"c(4:1)","c(-1)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2016,church4,church_lb,p31sta,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2017,church4,church_lb,p22st,"c(4:1)","c(-1)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2018,church4,church_lb,p24st,"c(4:1)","c(-1)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
lb2020,church4,church_lb,p20st_a,"c(4:1)","c(-1)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
tcmeg2004,church4,church_tcmeg,m601d,"c(4:1)","c(97,98,99)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
wvs_combo,church4,church_wvs,e123,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
wvs4_swe,church4,church_wvs,v172,"c(4:1)","c(-1,-2)","Democracy may have its problems but it is still the best form of government","1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree"
amb_argentina2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_argentina2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_argentina2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_argentina2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_argentina2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2010,church7,church_amb,ing4,"c(1:7)","c(88)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2012,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2005,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2007,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2009,church7,church_amb,ing4,"c(1:7)","8","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2011,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2013,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_combo,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_ecuador2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_ecuador2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_ecuador2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_suriname2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_suriname2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_trinidad2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_trinidad2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2010,church7,church_amb,ing4,"c(1:7)","88","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2012,church7,church_amb,ing4,"c(1:7)","88","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2018,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_venezuela2010,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_venezuela2012,church7,church_amb,ing4,"c(1:7)","c(88,98)","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_venezuela2014,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_venezuela2016,church7,church_amb,ing4,"c(1:7)","99","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_argentina2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_bolivia2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_brazil2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_canada2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_chile2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_colombia2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_costarica2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_dominicanrepublic2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_ecuador2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_elsalvador2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_guatemala2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_guyana2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_haiti2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_honduras2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_jamaica2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_mexico2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_nicaragua2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_panama2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_paraguay2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_peru2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_uruguay2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
amb_us2021,church7,church_amb,ing4,"c(1:7)","","Democracy may have problems but it is better than any other form of government","1 strongly disagree / 7 strongly agree"
allbus,dictatorship5,dictatorship5,px03,"c(5:1)","c(-9,-8)","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles1994,dictatorship5,dictatorship5,v350f,"c(5:1)","c(8,9)","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles1998,dictatorship5,dictatorship5,v350f,"c(5:1)","c(8,9)","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles2002,dictatorship5,dictatorship5,v350f,"c(5:1)","c(8,9)","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles2009,dictatorship5,dictatorship5,kp3_060e,"c(5:1)","99","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles2013,dictatorship5,dictatorship5,kp3_060e,"c(5:1)","-99","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
gles2017,dictatorship5,dictatorship5,kp2_060e,"c(5:1)","c(-99,-93)","dictatorship sometimes better government","1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree"
cdcee,church3,church_cdcee,v40,"c(3:1)","99","Do you believe that democracy is the best form of government or is there another form of government which is better","1 best / 2 undecided / 3 other better"
afrob1,strong5,strong_afrob,rejdic,"c(5:1)","c(6,98)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob2,strong5,strong_afrob,q35d,"c(5:1)","c(9,98)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob3,strong5,strong_afrob,q36c,"c(5:1)","c(9,98)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob4,strong5,strong_afrob,q29c,"c(5:1)","c(9,998)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob5,strong5,strong_afrob,q31c,"c(5:1)","c(9,998)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob6,strong5,strong_afrob,q28c,"c(5:1)","c(9,98)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
afrob7,strong5,strong_afrob,q27c,"c(5:1)","c(9,8)","elections and parliament are abolished so that the president can decide everything","1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve"
cdcee,elections2,election_cdcee,v276,"c(2:1)","99","elections best way to choose government","1 yes the best way / 2 no not the best way"
asiab2003,strong_bad3,strong_asiab,q27_a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
asiab2004,strong_bad3,strong_asiab,q32a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
asiab2005,strong_bad3,strong_asiab,q34a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
asiab2006,strong_bad3,strong_asiab,q38a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
asiab2007,strong_bad3,strong_asiab,q39a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
asiab2008,strong_bad3,strong_asiab,q40a,"c(1:3)","c(9)","Governance by a powerful leader without the restriction of parliament of elections","1 very good / 2 fairly good / 3 bad"
aes2007,dem_good4a,evdemoc_wvs,c12p4,"c(4:1)","","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
evs_combo,dem_good4a,evdemoc_evs,e117,"c(4:1)","c(-1,-2)","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
evs_greece2017,dem_good4a,evdemoc_evs,v148,"c(4:1)","c(-1,-2)","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
evs2017,dem_good4a,evdemoc_evs,v148,"c(4:1)","c(-1,-2)","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
fsdeva2020spr,dem_good4a,evdemoc_wvs,q10c_4,"c(4:1)","","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
tcmeg2004,dem_good4a,evdemoc_tcmeg,m603a,"c(4:1)","c(97,98,99)","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
wvs_combo,dem_good4a,evdemoc_wvs,e117,"c(4:1)","c(-1,-2)","Having a democratic political system","1 very good / 2 fairly good / 3 fairly bad / 4 very bad"
